No,회사,제목,지역,상세보기
78,풀림,백엔드 엔지니어 (Python)_2년 이상,서울 강남구,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=364001&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun
79,랩씨드,Python Backend 및 AI 개발,서울 서초구,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=365172&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun
80,휴먼웍스,백엔드(python) 개발자 채용,서울 강남구,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=54377295&infoTypeCd=CSI&infoTypeGroup=tb_workinfogubun
81,우주프로퍼티매니지먼트,파이썬(데이터 수집 자동화 및 API) 개발자,역무관,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=370096&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun
82,디제이패밀리 (DJ FAMILY),임베디드 시스템 개발자 (C++/C#/Python),경북 안동시,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=53978633&infoTypeCd=CSI&infoTypeGroup=tb_workinfogubun
83,에코트로닉스(주),생산공정 자동화를 위한 로봇 및 비전 시스템 구현 가능한 분,충청북도 진천군 문백면 사양2길 86,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K171112606180041&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
84,(주)엠클라우독,Python 개발자 채용,서울 강남구,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=53920991&infoTypeCd=CSI&infoTypeGroup=tb_workinfogubun
85,드림에이치알,AI 개발자-국내 대표적 보안솔루션 전문기업,정보제공처 : 인크루트,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=2606160001076&infoTypeCd=CIN&infoTypeGroup=tb_workinfogubun
86,㈜아람인테크,[이천]Python 개발자 모십니다.,경기 이천시,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=51230764&infoTypeCd=CJK&infoTypeGroup=tb_workinfogubun
87,예진(주),프론트엔드 개발자 (React / Next.js / Python),서울 송파구,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=54434987&infoTypeCd=CSI&infoTypeGroup=tb_workinfogubun
88,에이치에스소프트,[아산지사] AI 개발자 (Python 3년 이상),충남 아산시,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=368670&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun
89,(주)아톰소프트,기계공학 S/W 개발 인재 채용,정보제공처 : 인크루트,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=2607010002637&infoTypeCd=CIN&infoTypeGroup=tb_workinfogubun
90,(주)게임엔,백엔드(python) 개발자 채용,서울 강남구,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=54427054&infoTypeCd=CSI&infoTypeGroup=tb_workinfogubun
91,㈜아이엔소프트,AI Agent Engineer (Python),서울 영등포구,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=51032150&infoTypeCd=CJK&infoTypeGroup=tb_workinfogubun
92,(주)택산,AI 기반 영상 분석 파이썬 개발자 모집,경기 하남시,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=54406119&infoTypeCd=CSI&infoTypeGroup=tb_workinfogubun
93,지니코딩스쿨컴퓨터학원,IT교육/프로그래밍강사/컴퓨터강사/AI교육강사,부산광역시 해운대구 좌동순환로 180,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K130112607080026&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
94,(주)엔이에스,엔이에스 Python 개발자 채용,충북 청주시 청원구,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=54355006&infoTypeCd=CSI&infoTypeGroup=tb_workinfogubun
95,(주)에이블랩스,자동화 장비 제어 SW 엔지니어(Python),인천 연수구,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=54364059&infoTypeCd=CSI&infoTypeGroup=tb_workinfogubun
96,주식회사 크레듀,[채용대행] 프로그래밍전문강사 채용,대구광역시 달서구 중흥로 20,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KF11472607020002&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
97,(주)스마트뱅크,AI 서비스 플랫폼 개발자(경력) 모집(PYTHON),부산 연제구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54352017&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=ce89093c-5930-4b03-8d31-6584237baf2d
98,(주)크리에이트크루,[개발팀] 백엔드 개발자 (Python),서울 강남구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53948095&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=ce89093c-5930-4b03-8d31-6584237baf2d
99,리메세(주),정교하고 실행력 있는 엔지니어 (Python),서울 마포구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54345371&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=ce89093c-5930-4b03-8d31-6584237baf2d
100,(주)빅앤딥,"[서울 문정] [경력3년이상 4,300~8,500] C++, Python 백엔드개발",서울 송파구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53999668&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=ce89093c-5930-4b03-8d31-6584237baf2d
101,(주)프리즘투자자문,백엔드 엔지니어(C# Python) 채용(일부재택/유연근무),서울 강남구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54204377&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=ce89093c-5930-4b03-8d31-6584237baf2d
